Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
TSE,2023-09-17,302270000.0,34600000.0,1.59 ,N/A ,-25.15 ,0.47  ,0.01 ,6.27  
AAN,2023-09-17,300970000.0,29830000.0,1.19 ,N/A ,-0.08 ,5.13  ,0.13 ,4.36  
SCU,2023-09-17,697340000.0,17550000.0,1.20 ,N/A ,-0.94 ,3.33  ,0.06 ,2.21  
BRLT,2023-09-17,185920000.0,11650000.0,1.54 ,276.36 ,0.0110 ,N/A ,N/A ,3.01  
LOCO,2023-09-17,302280000.0,26530000.0,0.77 ,13.98 ,0.65 ,0.00  ,1.50 ,5.10  
HYZN,2023-09-17,298720000.0,90650000.0,1.90 ,N/A ,-0.6427 ,N/A ,N/A ,12.80  
GLUE,2023-09-17,296800000.0,30900000.0,1.78 ,N/A ,-2.58 ,N/A ,N/A ,11.49  
XFLT,2023-09-17,N/A 
ZYXI,2023-09-17,297820000.0,21380000.0,0.98 ,18.26 ,0.45 ,0.00  ,0.10 ,27.60  
CSTR,2023-09-17,295920000.0,17720000.0,0.93 ,9.44 ,1.51 ,3.10  ,0.11 ,0.87  
CERS,2023-09-17,294710000.0,174630000.0,1.34 ,N/A ,-0.2857 ,N/A ,N/A ,3.20  
OPI,2023-09-17,293950000.0,47610000.0,1.12 ,28.10 ,0.22 ,16.53  ,0.25 ,9.35  
SPOK,2023-09-17,293130000.0,18190000.0,0.62 ,8.41 ,1.75 ,8.51  ,0.31 ,3.28  
ASG,2023-09-17,N/A 
